Major Occupational Group, Occupation,Numebr of ppl employed (2016),Infection Score,Physical Proximity Score,Risk Band by Infection Score
Clerical and Admin Workers,Courier,22528,73,45,HIGH
Clerical and Admin Workers,Medical receptionist,46738,53,71,MODERATE
Clerical and Admin Workers,Health Practice Manager,17595,34,45,SOME
Clerical and Admin Workers,Secretary,34036,29,43,SOME
Clerical and Admin Workers,Project/Program Admin,88478,23,45,SOME
Clerical and Admin Workers,Filling/Registry Clerk,12268,19,47,LOW 
Clerical and Admin Workers,Payroll Clerk,25264,7,37,LOW 
Clerical and Admin Workers,Personal Assistant,52582,8,39,LOW 
Clerical and Admin Workers,Contact Admin,18007,0,37,LOW 
Clerical and Admin Workers,Credit/Loan Officer,25703,4,42,LOW 
Clerical and Admin Workers,Accounts Clerk,93289,4,44,LOW 
Clerical and Admin Workers,Despatching/Receiving clerk,22504,4,46,LOW 
Clerical and Admin Workers,Officer Manager,115649,9,47,LOW 
Clerical and Admin Workers,Information Officer,54981,31,52,SOME
Clerical and Admin Workers,General Clerk,219843,28,64,SOME
Clerical and Admin Workers,Bank Worker,48033,34,76,SOME
Clerical and Admin Workers,Purchasing Officer,146664,10,51,LOW 
Clerical and Admin Workers,Data Entry Operator,39127,11,57,LOW 
Clerical and Admin Workers,Postal Delivery Officer,13481,8,57,LOW 
Clerical and Admin Workers,Call/Contact Center Operator,28805,5,58,LOW 
Clerical and Admin Workers,Order Clerk,13372,3,56,LOW 
Clerical and Admin Workers,Stock Clerk,17362,2,58,LOW 
Clerical and Admin Workers,Insurance Consultant,23836,0,52,LOW 
Community and Personal Service Workers,Hospital Orderly,12427,97,97,VERY HIGH
Community and Personal Service Workers,Dental Assistant,21888,96,99,VERY HIGH
Community and Personal Service Workers,Ambulance Officer,12745,89,97,VERY HIGH
Community and Personal Service Workers,Enrolled Nurse,34039,83,91,VERY HIGH
Community and Personal Service Workers,Fire Fighter,12159,77,89,HIGH
Community and Personal Service Workers,Prison Officer,15131,72,81,HIGH
Community and Personal Service Workers,Police Officer,48229,61,73,HIGH
Community and Personal Service Workers,Personal Care Assistant,28897,63,84,HIGH
Community and Personal Service Workers,Aged/Disabled Carer,132325,62,86,HIGH
Community and Personal Service Workers,Community Worker,24423,58,79,MODERATE
Community and Personal Service Workers,Integration Aide,18994,49,83,MODERATE
Community and Personal Service Workers,Child Care Worker,96217,45,82,MODERATE
Community and Personal Service Workers,Massage Therapist,14852,35,89,SOME
Community and Personal Service Workers,Teachers' Aide,58780,36,88,SOME
Community and Personal Service Workers,Beauty Therapist,25416,36,99,SOME
Community and Personal Service Workers,Fitness Instructor,27235,22,83,SOME
Community and Personal Service Workers,Waiter,106357,16,78,LOW 
Community and Personal Service Workers,Security Officer,39855,16,68,LOW 
Community and Personal Service Workers,Swimming Coach/ Instructor,12325,9,74,LOW 
Community and Personal Service Workers,Barista,37231,8,75,LOW 
Community and Personal Service Workers,Café Worker,29521,7,74,LOW 
Community and Personal Service Workers,Bar Attendant,46450,4,79,LOW 
Community and Personal Service Workers,Travel Consultant,19815,0,55,LOW 
Labourers,Commercial Housekeeper,25713,52,42,MODERATE
Labourers,Commercial Keeper,126157,47,48,MODERATE
Labourers,Home Improvement Installer,11232,44,69,MODERATE
Labourers,Car Detailer,14645,16,55,LOW 
Labourers,Fast Food Cook,35162,11,65,LOW 
Labourers,Builder's Labourer,38160,10,73,LOW 
Labourers,Shelf Filler,50619,20,84,LOW 
Labourers,Garden Labourer,19055,9,76,LOW 
Labourers,Kitchen Hand,109637,6,69,LOW 
Labourers,concreter,27561,5,86,LOW 
Labourers,Labourers nec,15724,3,70,LOW 
Labourers,Packers nfd,19535,4,59,LOW 
Labourers,Product Assembler,22461,3,59,LOW 
Labourers,Handyperson,30694,3,61,LOW 
 Machinery Operators and Drivers,Forklift Driver,48903,4,34,LOW 
 Machinery Operators and Drivers,Truck Driver (General),137184,7,42,LOW 
 Machinery Operators and Drivers,Engineering Production Worker,16538,2,43,LOW 
 Machinery Operators and Drivers,Bus Driver,32959,47,78,MODERATE
 Machinery Operators and Drivers,Taxi Driver,27198,25,79,SOME
 Machinery Operators and Drivers,Delivery Driver,41039,13,67,LOW 
 Machinery Operators and Drivers,Storeperson,108213,2,58,LOW 
 Machinery Operators and Drivers,Miner,32283,1,53,LOW 
Managers,Health and Welfare Services Manegers,15905,34,45,SOME
Managers,Facilities Manager,17044,23,45,SOME
Managers,Chief Executive / Managing Director,58331,18,43,LOW 
Managers,Quality Assurance Manager,14138,16,48,LOW 
Managers,Transport Company Manager,11772,11,42,LOW 
Managers,Finance Manager,47011,7,35,LOW 
Managers,Human Resource Manager,45347,5,41,LOW 
Managers,Engineering Manager,15419,3,43,LOW 
Managers,Sales and Marketing Manager,100596,2,47,LOW 
Managers,Construction Project Manager,42142,4,50,LOW 
Managers,Hotel/Motel Manager,19940,4,49,LOW 
Managers,ICT Managers nfd,11906,5,51,LOW 
Managers,Supply and Distribution Manager,24520,3,51,LOW 
Managers,Beef Cattle Farmer,28292,5,53,LOW 
Managers,Production Manager,32031,5,55,LOW 
Managers,Customer Service Manager,34251,5,58,LOW 
Managers,Wholesaler,11405,10,58,LOW 
Managers,Corporate General Manager,50799,14,55,LOW 
Managers,School Principal,20617,21,52,SOME
Managers,Retail Manager,170343,10,66,LOW 
Managers,Childcare Centre Manager,11185,40,75,SOME
Managers,Conference and Event Organiser,20503,0,72,LOW 
Managers,Café or Restaurant Manager,53892,10,78,LOW 
